OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength
4,15007,BAKERSTOWN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.65668829,-79.93212966, ,173,0,107,66,55,1.9.3,10,{4768B869-6BC2-4B77-8DC7-A3BB678888D1},13371212.1917725,20129.3081236352
5,15014,BRACKENRIDGE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.60796437,-79.74083155, ,1493,59,1396,38,76,1.9.3,5,{D7938129-8427-49A4-8C6C-3A19848432D4},15152763.5545044,16847.4235175309
6,15015,BRADFORD WOODS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6364525,-80.08523523, ,525,0,430,95,56,1.9.3,10,{BABB5D5E-1FF4-4E03-BBAB-B84CBB5BFB31},26583860.623291,34637.6593476434
8,15018,BUENA VISTA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28940773,-79.79123687, ,415,0,286,129,22,1.9.3,11,{4E2C2FAA-7976-4BEF-8119-BBB65C2F7014},60877730.8699646,76466.4687362405
10,15020,BUNOLA,PO BOX,PA,42,42003,ALLEGHENY,150,40.21979141,-79.96302413, ,131,0,1,130,13,1.9.3,12,{6A1DF0B9-0732-465E-A020-6DBC3DCE93B3},53737115.2289124,51181.4570728443
12,15025,CLAIRTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28416284,-79.91537341, ,7218,277,6768,173,494,1.9.3,0,{86730D4E-BBA9-4B57-8336-A444594F7E27},455990446.283508,178267.358010406
14,15034,DRAVOSBURG,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,,, ,979,0,950,29,104,1.9.3,6,{C7A863B3-22E1-42B1-A368-872E83B4A9CC},29885395.682312,27557.1871821006
15,15030,CREIGHTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.58806677,-79.77999562, ,532,1,491,40,64,1.9.3,0,{5E20E33C-05C8-49F4-A63F-B29340E9BC6E},46031782.0288086,61125.2059714738
19,15035,EAST MC KEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.39846801,-79.81833267, ,1141,51,1062,28,70,1.9.3,10,{5727D3B9-700D-43F7-B621-1FFACDA2A5B9},11959237.5730286,18567.5465161071
23,15046,CRESCENT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55563839,-80.22832411, ,1116,0,1060,56,63,1.9.3,0,{14AA359E-C043-4826-B9E7-450800598D51},63556112.9818726,37940.4317018874
24,15047,GREENOCK,PO BOX,PA,42,42003,ALLEGHENY,150,40.31121933,-79.79640995, ,163,0,1,162,16,1.9.3,15,{E03C7DC0-2C30-465D-90E9-82C16CA52037},7915903.93862915,19825.3551936427
25,15049,HARWICK,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.55594268,-79.80560481, ,546,0,463,83,23,1.9.3,15,{CEC8C572-1900-45CE-88AF-EC3E199852EF},18921596.347229,26044.3527021944
30,15064,MORGAN,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.3570462,-80.14755828, ,197,0,160,37,54,1.9.3,12,{1FA645FE-C42C-4C6F-A8F7-575717E417F3},16646642.1828003,35948.4838128964
31,15065,NATRONA HEIGHTS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.64174598,-79.72652033, ,5339,309,4928,102,399,1.9.3,10,{99206AD3-D38B-4853-BBEA-632419299957},351427878.232117,107844.968143717
38,15082,STURGEON,PO BOX,PA,42,42003,ALLEGHENY,150,40.38088936,-80.21310333, ,175,0,1,174,15,1.9.3,0,{68837542-C476-4E60-86D8-F67AD536E4E0},5299054.06674194,17954.8295494306
49,15110,DUQUESNE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.37243097,-79.85005849, ,2833,318,2383,132,169,1.9.3,6,{0572D3C0-9701-472C-B109-0FB3F73FC8EA},56202860.6950989,33878.6546408416
50,15112,EAST PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.406067,-79.83876378, ,1830,154,1595,81,141,1.9.3,12,{5B39C659-1E8C-4F25-AAA4-DCE9E7E6C0B6},22348819.9750366,30176.0539118328
55,15129,SOUTH PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.29378767,-79.9950397, ,4690,836,3674,180,183,1.9.3,16,{5F1C6CBE-D261-464A-9F1D-673D4D5F1533},225136962.630127,94812.0902438453
56,15131,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32513782,-79.80337403, ,3997,557,3440,0,286,1.9.3,8,{FA436401-5594-4ACC-9EDF-7B2AC0984C11},193951144.079529,103869.891585818
57,15132,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3392329,-79.84240455, ,9746,1144,8558,44,722,1.9.3,0,{0AD7F458-B319-4527-B1DB-235637FB63F6},175028817.716278,89731.7209160281
58,15133,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32924545,-79.86396125, ,2949,121,2828,0,62,1.9.3,1,{D38FA47F-3240-46A4-9096-2A896FB4B4A6},81852607.5224304,52486.291160646
59,15135,MCKEESPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.30216627,-79.81469332, ,2192,280,1879,33,93,1.9.3,5,{760085A3-2A1B-44A4-9858-AEA6311684E9},108813901.793793,78848.1116707703
61,15137,NORTH VERSAILLES,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.3780742,-79.80876604, ,5010,788,4114,108,384,1.9.3,15,{357A761E-C584-47FB-854E-E8C91C75BE69},221192734.997955,109744.846792781
66,15144,SPRINGDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.54658212,-79.78534981, ,1976,159,1789,28,143,1.9.3,10,{17187878-280E-4EB3-A513-BC21F819466A},71499154.5735474,58871.5350615758
68,15146,MONROEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.42693174,-79.759102, ,13159,3114,9836,209,1837,1.9.3,16,{A5AE5829-C414-4AD3-B19D-E04B1FE08F92},538235809.989441,154219.345030184
70,15148,WILMERDING,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.39963912,-79.81058502, ,1416,216,1166,34,109,1.9.3,5,{17E6865C-36C0-4B7C-9809-3D8720059F19},38116626.4832764,47791.7813101314
73,15203,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.42585758,-79.97513245, ,5709,733,4799,177,888,1.9.3,12,{9B363D48-EAE2-4F39-AD8F-22506F5C60AA},48176953.1625366,47082.4331882262
81,15211,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43077203,-80.0151459, ,5893,901,4922,70,206,1.9.3,10,{4947BA7C-BC90-4825-B540-DA3311566C49},43394972.3510132,35501.9104320557
83,15213,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4430908,-79.95520627, ,11666,6940,4487,239,947,1.9.3,6,{EAF54ABC-E455-4BCB-B221-D579E1242754},76313243.3368225,62979.836102044
84,15214,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.48571112,-80.01328973, ,6370,417,5953,0,111,1.9.3,6,{CFA66008-DB78-4DCA-931B-F3E4A54D4D7D},119695616.789795,90983.8858793446
88,15218,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.42616848,-79.88669761, ,7238,1229,5858,151,441,1.9.3,0,{115FC638-65FB-4864-8E27-CC6756C47CD2},69162517.6314087,47873.5157166596
94,15224,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.46426325,-79.94511825, ,5113,845,4063,205,495,1.9.3,0,{38CD0F50-BE92-4378-A4FA-018342B795B0},27720746.4512329,34234.0303153359
95,15225,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50688702,-80.11220909, ,603,0,578,25,150,1.9.3,16,{73BB6FA5-B8CB-40D8-A292-C8AC931AEFC8},65384475.5302734,58702.9992217382
100,15232,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45294179,-79.93224793, ,6796,4113,2604,79,441,1.9.3,5,{14540988-6754-4A8C-A748-6CB303426CC4},23034380.8631592,38951.1369447947
107,15239,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.48743511,-79.73946234, ,8522,164,8256,102,532,1.9.3,6,{F85E598B-BC93-40B3-9C95-192AC8A5F4EC},477113225.684692,144931.793592007
111,15261,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.44655133,-79.95955977, ,0,0,0,0,0,1.9.3,5,{29ADE7CC-CBDF-49B0-B6C1-EB1045BE6051},324741.463439941,2970.28234777327
112,15275,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45235707,-80.18180181, ,0,0,0,0,181,1.9.3,13,{6879EEB7-CBC2-4D52-B5D9-A5D5A8CEB5BF},37386801.1525269,58049.2379486239
113,15290,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45866861,-80.02204336, ,0,0,0,0,1,1.9.3,10,{930CCE98-4F12-478B-A825-6D529F798805},943404.942993164,4925.95612909326
125,15126,IMPERIAL,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4070605,-80.17620598, ,3084,294,2663,127,235,1.9.3,15,{3D342C71-3E56-4E55-BA26-26F7B6C25CF4},652794887.424286,213504.478684104
154,15006,BAIRDFORD,PO BOX,PA,42,42003,ALLEGHENY,150,40.63632608,-79.9466552, ,,,,,,1.9.3,12,{E34895F1-D822-4D51-ADD7-5A6EFD3CA15D},3706481.42407227,16964.4999485231
183,15051,INDIANOLA,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.57959175,-79.86609649, ,243,0,201,42,45,1.9.3,10,{1A3867AA-9625-453F-83EA-73EBDFCB5927},12060159.0457153,18828.5182263709
216,15223,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50611141,-79.95117001, ,3532,232,3272,28,283,1.9.3,12,{BF739C67-EFAE-4BAA-8CC3-BFC29FAEAE55},57907627.5751343,57572.6827419749
237,15227,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.381338,-79.969707, ,13011,1522,11412,77,622,1.9.3,16,{E0E4D041-A766-4D78-8127-DFFBD17309A8},167876282.381104,127539.2683407
243,15229,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.517189,-80.030806, ,6411,665,5672,74,312,1.9.3,5,{65541C6E-E28D-4150-B563-93F955826F42},116544636.900574,91251.4848810695
255,16229,FREEPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.64174598,-79.72652033, ,,,,,,1.9.3,10,{9854CE82-59CB-4E16-A63F-D64920BD5EA6},2958958.862854,9228.62616137391
256,15282,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.44291632,-79.98815211, ,,,,,,1.9.3,11,{90C0B91D-1527-4729-AFEE-C388E634A907},268656.100097656,2301.32381191186
257,15276,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899, ,,,,,,1.9.3,5,{9374F636-799D-4638-94BE-24CF19D4CC1A},3569755.206604,9468.9434971093
258,15083,SUTERSVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28940773,-79.79123687, ,,,,,,1.9.3,11,{BB0BB666-A223-45A9-8674-A950C0F5983C},7938963.44207764,19272.491630008
268,15088,WEST ELIZABETH,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.25059259,-79.86374335, ,,,,,,1.9.3,10,{3F6DAE87-C96B-403D-B589-CB7F3696195C},8432856.04052734,23978.2382693005
277,15116,GLENSHAW,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.551918,-79.939899, ,6093,86,5931,76,374,1.9.3,5,{993779CB-C9F6-4CDC-AA88-A7C006E9E836},217441574.282593,126302.990057622
287,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.54828572,-80.05271256, ,18376,2952,15125,299,1880,1.9.3,12,{4B1C99A3-857A-4BCB-A79B-9E02F30DF27D},666544579.883728,240389.679905622
296,15122,WEST MIFFLIN,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.36062103,-79.90927201, ,9167,631,8491,45,472,1.9.3,5,{DF2BE71D-F1BC-4056-90F7-C0698B4FDA01},361520617.038025,163467.568734699
298,15204,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45436768,-80.05936821, ,3645,112,3484,49,139,1.9.3,10,{478BB633-2446-4D0B-AA3F-EFBEF91D5202},55186568.3005981,39471.0581551696
302,15216,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.40180177,-80.03433406, ,11008,1817,9054,137,535,1.9.3,6,{3138C4F5-5CEE-43E0-8933-0F0E7AA1EEBA},95351928.2561951,80277.153029713
307,15102,BETHEL PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32221149,-80.03642213, ,12769,1668,10948,153,861,1.9.3,6,{2EB816EA-46E9-4C7B-886A-99FA183C4EC3},294828949.508972,97973.7884785724
309,15234,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.36961247,-80.01796048, ,6819,1034,5562,223,722,1.9.3,5,{417599F8-E171-4B7C-9BED-1E224FA43843},93964637.9895325,86983.585235707
313,15120,HOMESTEAD,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.39606444,-79.90626658, ,9303,1035,8024,244,651,1.9.3,6,{333855ED-238E-4219-BF3A-1B03E620B6BE},139153748.094086,60034.8194220884
336,15017,BRIDGEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.34316582,-80.13009131, ,7437,1216,6065,156,865,1.9.3,6,{C8461EEC-98FC-41AC-BFF6-4877D311C01A},291769883.206238,124095.098771136
345,15205,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43935,-80.10208, ,10831,1718,8997,116,1222,1.9.3,11,{2EAC90A8-3F81-41A7-8F43-3E791D265145},385064044.888855,236330.421615258
370,15215,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.49616648,-79.91664792, ,5617,544,5014,59,486,1.9.3,7,{B4B258BE-AD4C-428E-B5F6-BF42D3C37FF9},167883075.335022,69602.2986281859
376,15139,OAKMONT,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.53502586,-79.88243085, ,3161,465,2616,80,379,1.9.3,6,{7921DED5-1C74-4B9A-BCE0-3911444F9916},79554518.8250732,45520.3208487122
